,code,name,project_name,countryname
990,11,Environment and natural resources management,SUSTAINABLE AGRICULTURE AND CLIMATE CHANGE MITIGATION PROJECT (GEF),Republic of Uzbekistan
991,10,Rural development,SUSTAINABLE AGRICULTURE AND CLIMATE CHANGE MITIGATION PROJECT (GEF),Republic of Uzbekistan
992,10,Rural development,SUSTAINABLE AGRICULTURE AND CLIMATE CHANGE MITIGATION PROJECT (GEF),Republic of Uzbekistan
993,11,Environment and natural resources management,SUSTAINABLE AGRICULTURE AND CLIMATE CHANGE MITIGATION PROJECT (GEF),Republic of Uzbekistan
994,8,Human development,Mozambique Nutrition Additional Financing,Republic of Mozambique
995,8,Human development,Mozambique Nutrition Additional Financing,Republic of Mozambique
996,8,Human development,Mozambique Nutrition Additional Financing,Republic of Mozambique
997,8,Human development,Moldova Education Reform Project,Republic of Moldova
998,11,,Moldova Education Reform Project,Republic of Moldova
999,6,Social protection and risk management,Mozambique Climate Change Development Policy Operation,Republic of Mozambique
1000,11,Environment and natural resources management,Mozambique Climate Change Development Policy Operation,Republic of Mozambique
1001,2,Public sector governance,Strengthening the Capacity of the Court of Accounts of Moldova (CoA),Republic of Moldova
1002,11,,Strengthening the Capacity of the Court of Accounts of Moldova (CoA),Republic of Moldova
1003,7,Social dev/gender/inclusion,Tunisia: Ecotourism and Conservation of Desert Biodiversity,Republic of Tunisia
1004,11,Environment and natural resources management,Tunisia: Ecotourism and Conservation of Desert Biodiversity,Republic of Tunisia
1005,11,Environment and natural resources management,Tunisia: Ecotourism and Conservation of Desert Biodiversity,Republic of Tunisia
1006,11,Environment and natural resources management,Tunisia: Ecotourism and Conservation of Desert Biodiversity,Republic of Tunisia
1007,4,Financial and private sector development,Tunisia: Ecotourism and Conservation of Desert Biodiversity,Republic of Tunisia
1008,2,Public sector governance,MM-Reengagement and Reform Support Program,Republic of the Union of Myanmar
1009,5,Trade and integration,MM-Reengagement and Reform Support Program,Republic of the Union of Myanmar
1010,1,Economic management,MM-Reengagement and Reform Support Program,Republic of the Union of Myanmar
1011,4,Financial and private sector development,MM-Reengagement and Reform Support Program,Republic of the Union of Myanmar
1012,2,Public sector governance,Nigeria Post-Compliance I EITI,Federal Republic of Nigeria
1013,10,,Nigeria Post-Compliance I EITI,Federal Republic of Nigeria
1014,8,Human development,PE Basic Education,Republic of Peru
1015,11,,PE Basic Education,Republic of Peru
1016,10,Rural development,Hunan Forest Restoration and Development Project,People's Republic of China
1017,6,Social protection and risk management,Hunan Forest Restoration and Development Project,People's Republic of China
1018,11,Environment and natural resources management,Hunan Forest Restoration and Development Project,People's Republic of China
1019,2,Public sector governance,NI AF Rural Water Supply and Sanitation,Republic of Nicaragua
1020,10,Rural development,NI AF Rural Water Supply and Sanitation,Republic of Nicaragua
1021,8,Human development,HIV/AIDS Prevention Additional Financing,Socialist Republic of Vietnam
1022,11,,HIV/AIDS Prevention Additional Financing,Socialist Republic of Vietnam
1023,2,Public sector governance,TANZANIA SECOND CENTRAL TRANSP CORRIDOR PROJECT - ADD'L FINANC,United Republic of Tanzania
1024,1,,TANZANIA SECOND CENTRAL TRANSP CORRIDOR PROJECT - ADD'L FINANC,United Republic of Tanzania
1025,11,Environment and natural resources management,Community Agricultural Resource Management and Competitiveness Project,Republic of Armenia
1026,10,Rural development,Community Agricultural Resource Management and Competitiveness Project,Republic of Armenia
1027,10,Rural development,Community Agricultural Resource Management and Competitiveness Project,Republic of Armenia
1028,2,Public sector governance,Second MDTF for Capacity Building Support to Implement the IPS (IPS 2),Republic of Albania
1029,3,,Second MDTF for Capacity Building Support to Implement the IPS (IPS 2),Republic of Albania
1030,11,Environment and natural resources management,ENPI East Countries FLEG II Program,Europe and Central Asia
1031,7,Social dev/gender/inclusion,ENPI East Countries FLEG II Program,Europe and Central Asia
1032,10,Rural development,ENPI East Countries FLEG II Program,Europe and Central Asia
1033,11,Environment and natural resources management,ENPI East Countries FLEG II Program,Europe and Central Asia
1034,11,Environment and natural resources management,ENPI East Countries FLEG II Program,Europe and Central Asia
1035,8,Human development,Vietnam:  Global Partnership for Education - Vietnam Escuela Nueva Project,Socialist Republic of Vietnam
1036,8,,Vietnam:  Global Partnership for Education - Vietnam Escuela Nueva Project,Socialist Republic of Vietnam
1037,11,Environment and natural resources management,Integrated Disaster and Land Management Project,Republic of Togo
1038,6,Social protection and risk management,Integrated Disaster and Land Management Project,Republic of Togo
1039,6,Social protection and risk management,Integrated Disaster and Land Management Project,Republic of Togo
1040,11,Environment and natural resources management,Integrated Disaster and Land Management Project,Republic of Togo
1041,11,Environment and natural resources management,Integrated Disaster and Land Management Project,Republic of Togo
1042,6,Social protection and risk management,FYR Macedonia Public Expenditure PBG,"Macedonia, former Yugoslav Republic of"
1043,8,Human development,FYR Macedonia Public Expenditure PBG,"Macedonia, former Yugoslav Republic of"
1044,2,Public sector governance,FYR Macedonia Public Expenditure PBG,"Macedonia, former Yugoslav Republic of"
1045,1,Economic management,FYR Macedonia Public Expenditure PBG,"Macedonia, former Yugoslav Republic of"
1046,11,Environment and natural resources management,Nile Cooperation for Results Project,Africa
1047,7,Social dev/gender/inclusion,Nile Cooperation for Results Project,Africa
1048,11,Environment and natural resources management,Nile Cooperation for Results Project,Africa
1049,6,Social protection and risk management,Community Climate Change Project,People's Republic of Bangladesh
1050,11,Environment and natural resources management,Community Climate Change Project,People's Republic of Bangladesh
1051,11,Environment and natural resources management,Community Climate Change Project,People's Republic of Bangladesh
1052,7,Social dev/gender/inclusion,PNG Social and Economic Empowerment for Women in Mining and Petroleum Areas,The Independent State of Papua New Guine
1053,11,,PNG Social and Economic Empowerment for Women in Mining and Petroleum Areas,The Independent State of Papua New Guine
1054,11,Environment and natural resources management,Maldives  Ari Atoll Solid Waste Management Project,Republic of Maldives
1055,11,Environment and natural resources management,Maldives  Ari Atoll Solid Waste Management Project,Republic of Maldives
1056,1,Economic management,Azerbaijan - Establishment of Meta-Information System,Republic of Azerbaijan
1057,1,Economic management,Azerbaijan - Establishment of Meta-Information System,Republic of Azerbaijan
1058,2,Public sector governance,SN- First Governance and Growth Support Project,Republic of Senegal
1059,2,Public sector governance,SN- First Governance and Growth Support Project,Republic of Senegal
1060,10,Rural development,SN- First Governance and Growth Support Project,Republic of Senegal
1061,8,Human development,SN- First Governance and Growth Support Project,Republic of Senegal
1062,4,Financial and private sector development,SN- First Governance and Growth Support Project,Republic of Senegal
1063,11,Environment and natural resources management,Namibian Coast Conservation Additional Finance,Republic of Namibia
1064,11,Environment and natural resources management,Namibian Coast Conservation Additional Finance,Republic of Namibia
1065,11,Environment and natural resources management,Namibian Coast Conservation Additional Finance,Republic of Namibia
1066,11,Environment and natural resources management,Namibian Coast Conservation Additional Finance,Republic of Namibia
1067,11,Environment and natural resources management,Third Phase Community Based Rural Development Project,Burkina Faso
1068,7,Social dev/gender/inclusion,Third Phase Community Based Rural Development Project,Burkina Faso
1069,2,Public sector governance,Third Phase Community Based Rural Development Project,Burkina Faso
1070,7,Social dev/gender/inclusion,Third Phase Community Based Rural Development Project,Burkina Faso
1071,10,Rural development,Third Phase Community Based Rural Development Project,Burkina Faso
1072,7,Social dev/gender/inclusion,Sustainable land and forestry management Project,Burkina Faso
1073,10,Rural development,Sustainable land and forestry management Project,Burkina Faso
1074,11,Environment and natural resources management,Sustainable land and forestry management Project,Burkina Faso
1075,7,Social dev/gender/inclusion,Second Additional Financing for the Second Village Investment Project,Kyrgyz Republic
1076,10,Rural development,Second Additional Financing for the Second Village Investment Project,Kyrgyz Republic
1077,10,Rural development,Second Additional Financing for the Second Village Investment Project,Kyrgyz Republic
1078,1,Economic management,DEVSTAT Additional Financing,Ukraine
1079,8,,DEVSTAT Additional Financing,Ukraine
1080,6,Social protection and risk management,Disaster Risk Management Program for The Third National Program For Community Empowerment in Urban Areas,Republic of Indonesia
1081,6,Social protection and risk management,Disaster Risk Management Program for The Third National Program For Community Empowerment in Urban Areas,Republic of Indonesia
1082,2,Public sector governance,DRC Phase II: Extractive Industries Transparency Initiative,Democratic Republic of the Congo
1083,2,,DRC Phase II: Extractive Industries Transparency Initiative,Democratic Republic of the Congo
1084,2,Public sector governance,Central African Republic - Post Compliance I,Central African Republic
1085,7,,Central African Republic - Post Compliance I,Central African Republic
1086,10,Rural development,Afghanistan: National Horticulture and Livestock Productivity Project,Islamic State of Afghanistan
1087,7,Social dev/gender/inclusion,Afghanistan: National Horticulture and Livestock Productivity Project,Islamic State of Afghanistan
1088,10,Rural development,Afghanistan: National Horticulture and Livestock Productivity Project,Islamic State of Afghanistan
1089,10,Rural development,Afghanistan: National Horticulture and Livestock Productivity Project,Islamic State of Afghanistan
1090,8,Human development,Youth Employment,Arab Republic of Egypt
1091,7,Social dev/gender/inclusion,Youth Employment,Arab Republic of Egypt
1092,11,Environment and natural resources management,Alat and Karakul Water Supply Project,Republic of Uzbekistan
1093,10,Rural development,Alat and Karakul Water Supply Project,Republic of Uzbekistan
1094,7,Social dev/gender/inclusion,Alat and Karakul Water Supply Project,Republic of Uzbekistan
1095,9,Urban development,HN Safer Municipalities,Republic of Honduras
1096,6,Social protection and risk management,HN Safer Municipalities,Republic of Honduras
1097,7,Social dev/gender/inclusion,HN Safer Municipalities,Republic of Honduras
1098,7,Social dev/gender/inclusion,HN Safer Municipalities,Republic of Honduras
1099,2,Public sector governance,Financial Reporting and Oversight Improvement Project,Republic of Malawi
1100,2,Public sector governance,Financial Reporting and Oversight Improvement Project,Republic of Malawi
1101,2,Public sector governance,Financial Reporting and Oversight Improvement Project,Republic of Malawi
1102,9,Urban development,Productive and Sustainable Cities Development Policy Loan,Republic of Colombia
1103,9,Urban development,Productive and Sustainable Cities Development Policy Loan,Republic of Colombia
1104,9,Urban development,Productive and Sustainable Cities Development Policy Loan,Republic of Colombia
1105,6,Social protection and risk management,PE Social Inclusion DPL,Republic of Peru
1106,8,Human development,PE Social Inclusion DPL,Republic of Peru
1107,6,Social protection and risk management,PE Social Inclusion DPL,Republic of Peru
1108,6,Social protection and risk management,PE Social Inclusion DPL,Republic of Peru
1109,7,Social dev/gender/inclusion,PE Social Inclusion TAL,Republic of Peru
1110,8,Human development,PE Social Inclusion TAL,Republic of Peru
1111,6,Social protection and risk management,PE Social Inclusion TAL,Republic of Peru
1112,6,Social protection and risk management,PE Social Inclusion TAL,Republic of Peru
1113,6,Social protection and risk management,Disaster Risk Management Project,Republic of Honduras
1114,1,,Disaster Risk Management Project,Republic of Honduras
1115,6,Social protection and risk management,Social Welfare and Development Reform Project Additional Financing,Republic of the Philippines
1116,6,Social protection and risk management,Social Welfare and Development Reform Project Additional Financing,Republic of the Philippines
1117,10,Rural development,Social Welfare and Development Reform Project Additional Financing,Republic of the Philippines
1118,7,Social dev/gender/inclusion,NATIONAL PROGRAM FOR COMMUNITY EMPOWERMENT IN RURAL AREA (PNPM RURAL 2012-2015,Republic of Indonesia
1119,10,Rural development,NATIONAL PROGRAM FOR COMMUNITY EMPOWERMENT IN RURAL AREA (PNPM RURAL 2012-2015,Republic of Indonesia
1120,8,Human development,NATIONAL PROGRAM FOR COMMUNITY EMPOWERMENT IN RURAL AREA (PNPM RURAL 2012-2015,Republic of Indonesia
1121,8,Human development,NATIONAL PROGRAM FOR COMMUNITY EMPOWERMENT IN RURAL AREA (PNPM RURAL 2012-2015,Republic of Indonesia
1122,10,Rural development,NATIONAL PROGRAM FOR COMMUNITY EMPOWERMENT IN RURAL AREA (PNPM RURAL 2012-2015,Republic of Indonesia
1123,10,Rural development,The Gambia Emergency Agricultural Production Support Project,Republic of The Gambia
1124,7,,The Gambia Emergency Agricultural Production Support Project,Republic of The Gambia
1125,6,Social protection and risk management,Increasing Resilience to Climate Change and Natural Hazards in Vanuatu,Republic of Vanuatu
1126,11,Environment and natural resources management,Increasing Resilience to Climate Change and Natural Hazards in Vanuatu,Republic of Vanuatu
1127,8,Human development,HIGHER EDUCATION QUALITY IMPROVEMENT,Republic of Peru
1128,2,Public sector governance,HIGHER EDUCATION QUALITY IMPROVEMENT,Republic of Peru
1129,6,Social protection and risk management,Lao PDR Second Trade Development Facility Project,Lao People's Democratic Republic
1130,5,Trade and integration,Lao PDR Second Trade Development Facility Project,Lao People's Democratic Republic
1131,5,Trade and integration,Lao PDR Second Trade Development Facility Project,Lao People's Democratic Republic
1132,5,Trade and integration,Lao PDR Second Trade Development Facility Project,Lao People's Democratic Republic
1133,7,Social dev/gender/inclusion,KP Southern Area Development Project,Islamic Republic of Pakistan
1134,10,Rural development,KP Southern Area Development Project,Islamic Republic of Pakistan
1135,7,Social dev/gender/inclusion,KP Southern Area Development Project,Islamic Republic of Pakistan
1136,10,Rural development,KP Southern Area Development Project,Islamic Republic of Pakistan
1137,7,Social dev/gender/inclusion,Water Resources and Irrigation Project,Republic of Albania
1138,11,Environment and natural resources management,Water Resources and Irrigation Project,Republic of Albania
1139,10,Rural development,Water Resources and Irrigation Project,Republic of Albania
1140,6,Social protection and risk management,Comoros Development Policy Grant 2,Union of the Comoros
1141,2,Public sector governance,Comoros Development Policy Grant 2,Union of the Comoros
1142,2,Public sector governance,Comoros Development Policy Grant 2,Union of the Comoros
1143,2,Public sector governance,Comoros Development Policy Grant 2,Union of the Comoros
1144,2,Public sector governance,Comoros Development Policy Grant 2,Union of the Comoros
1145,5,Trade and integration,Competitiveness DPL,"Macedonia, former Yugoslav Republic of"
1146,5,Trade and integration,Competitiveness DPL,"Macedonia, former Yugoslav Republic of"
1147,4,Financial and private sector development,Competitiveness DPL,"Macedonia, former Yugoslav Republic of"
1148,10,Rural development,Competitiveness DPL,"Macedonia, former Yugoslav Republic of"
1149,6,Social protection and risk management,Competitiveness DPL,"Macedonia, former Yugoslav Republic of"
1150,8,Human development,"Madagascar Emergency Support to Critical Education, Health and Nutrition Services Project",Republic of Madagascar
1151,8,Human development,"Madagascar Emergency Support to Critical Education, Health and Nutrition Services Project",Republic of Madagascar
1152,8,Human development,"Madagascar Emergency Support to Critical Education, Health and Nutrition Services Project",Republic of Madagascar
1153,8,Human development,"Madagascar Emergency Support to Critical Education, Health and Nutrition Services Project",Republic of Madagascar
1154,8,Human development,"Madagascar Emergency Support to Critical Education, Health and Nutrition Services Project",Republic of Madagascar
1155,6,Social protection and risk management,Emergency Infrastructure Preservation & Vulnerability Reduction Project,Republic of Madagascar
1156,10,Rural development,Emergency Infrastructure Preservation & Vulnerability Reduction Project,Republic of Madagascar
1157,6,Social protection and risk management,Emergency Infrastructure Preservation & Vulnerability Reduction Project,Republic of Madagascar
1158,6,Social protection and risk management,Emergency Infrastructure Preservation & Vulnerability Reduction Project,Republic of Madagascar
1159,10,Rural development,Emergency Infrastructure Preservation & Vulnerability Reduction Project,Republic of Madagascar
1160,6,Social protection and risk management,TAJIKISTAN SECOND PUBLIC EMPLOYMENT FOR SUSTAINABLE AGRICULTURE AND WATER RESOURCES MANAGEMENT PROJECT,Republic of Tajikistan
1161,10,Rural development,TAJIKISTAN SECOND PUBLIC EMPLOYMENT FOR SUSTAINABLE AGRICULTURE AND WATER RESOURCES MANAGEMENT PROJECT,Republic of Tajikistan
1162,11,Environment and natural resources management,TAJIKISTAN SECOND PUBLIC EMPLOYMENT FOR SUSTAINABLE AGRICULTURE AND WATER RESOURCES MANAGEMENT PROJECT,Republic of Tajikistan
1163,10,Rural development,TAJIKISTAN SECOND PUBLIC EMPLOYMENT FOR SUSTAINABLE AGRICULTURE AND WATER RESOURCES MANAGEMENT PROJECT,Republic of Tajikistan
1164,10,Rural development,TAJIKISTAN SECOND PUBLIC EMPLOYMENT FOR SUSTAINABLE AGRICULTURE AND WATER RESOURCES MANAGEMENT PROJECT,Republic of Tajikistan
1165,4,Financial and private sector development,GZ-Gaza Water Supply & Sewage System Improvement,West Bank and Gaza
1166,9,Urban development,GZ-Gaza Water Supply & Sewage System Improvement,West Bank and Gaza
1167,11,Environment and natural resources management,JO-Badia Ecosystem and Livelihoods,Hashemite Kingdom of Jordan
1168,10,Rural development,JO-Badia Ecosystem and Livelihoods,Hashemite Kingdom of Jordan
1169,10,Rural development,JO-Badia Ecosystem and Livelihoods,Hashemite Kingdom of Jordan
1170,11,Environment and natural resources management,JO-Badia Ecosystem and Livelihoods,Hashemite Kingdom of Jordan
1171,10,Rural development,JO-Badia Ecosystem and Livelihoods,Hashemite Kingdom of Jordan
1172,8,Human development,"Tunisia - Governance, Opportunities and Jobs DPL",Republic of Tunisia
1173,2,Public sector governance,"Tunisia - Governance, Opportunities and Jobs DPL",Republic of Tunisia
1174,6,Social protection and risk management,"Tunisia - Governance, Opportunities and Jobs DPL",Republic of Tunisia
1175,4,Financial and private sector development,"Tunisia - Governance, Opportunities and Jobs DPL",Republic of Tunisia
1176,8,Human development,"Tunisia - Governance, Opportunities and Jobs DPL",Republic of Tunisia
1177,10,Rural development,Improving Livestock Production and Marketing Project - A Pilot,Republic of the Sudan
1178,10,,Improving Livestock Production and Marketing Project - A Pilot,Republic of the Sudan
1179,11,Environment and natural resources management,China HCFC Phase-Out Project (Stage I),People's Republic of China
1180,11,Environment and natural resources management,China HCFC Phase-Out Project (Stage I),People's Republic of China
1181,11,Environment and natural resources management,Himachal Pradesh Watershed Management Project,Republic of India
1182,10,Rural development,Himachal Pradesh Watershed Management Project,Republic of India
1183,4,Financial and private sector development,First Connectivity Development Policy Loan,Republic of Indonesia
1184,5,Trade and integration,First Connectivity Development Policy Loan,Republic of Indonesia
1185,5,Trade and integration,First Connectivity Development Policy Loan,Republic of Indonesia
1186,10,Rural development,First Connectivity Development Policy Loan,Republic of Indonesia
1187,6,Social protection and risk management,National Community  Empowerment Program In Urban Areas For 2012-2015,Republic of Indonesia
1188,4,Financial and private sector development,National Community  Empowerment Program In Urban Areas For 2012-2015,Republic of Indonesia
1189,7,Social dev/gender/inclusion,National Community  Empowerment Program In Urban Areas For 2012-2015,Republic of Indonesia
1190,7,Social dev/gender/inclusion,National Community  Empowerment Program In Urban Areas For 2012-2015,Republic of Indonesia
1191,7,Social dev/gender/inclusion,"Institutional, Tax Administration, Social and Investment (INSTANSI) DPL",Republic of Indonesia
1192,2,Public sector governance,"Institutional, Tax Administration, Social and Investment (INSTANSI) DPL",Republic of Indonesia
1193,6,Social protection and risk management,"Institutional, Tax Administration, Social and Investment (INSTANSI) DPL",Republic of Indonesia
1194,6,Social protection and risk management,"Institutional, Tax Administration, Social and Investment (INSTANSI) DPL",Republic of Indonesia
1195,2,Public sector governance,"Institutional, Tax Administration, Social and Investment (INSTANSI) DPL",Republic of Indonesia
1196,4,Financial and private sector development,Financial sector and Investment climate Reform and Modernization DPL,Republic of Indonesia
1197,7,Social dev/gender/inclusion,Financial sector and Investment climate Reform and Modernization DPL,Republic of Indonesia
1198,4,Financial and private sector development,Financial sector and Investment climate Reform and Modernization DPL,Republic of Indonesia
1199,4,Financial and private sector development,Financial sector and Investment climate Reform and Modernization DPL,Republic of Indonesia
1200,10,Rural development,Sustainable Rural Development Additional Financing,United Mexican States
1201,11,Environment and natural resources management,Sustainable Rural Development Additional Financing,United Mexican States
1202,7,Social dev/gender/inclusion,MDTF FATA Emergency Rural Roads Project,Islamic Republic of Pakistan
1203,2,,MDTF FATA Emergency Rural Roads Project,Islamic Republic of Pakistan
1204,11,Environment and natural resources management,Pacific catastrophe risk insurance pilot program,Pacific Islands
1205,6,Social protection and risk management,Pacific catastrophe risk insurance pilot program,Pacific Islands
1206,1,Economic management,Pacific catastrophe risk insurance pilot program,Pacific Islands
1207,11,Environment and natural resources management,Pacific catastrophe risk insurance pilot program,Pacific Islands
1208,2,Public sector governance,Judicial Performance Improvement,Republic of Kenya
1209,3,Rule of law,Judicial Performance Improvement,Republic of Kenya
1210,4,Financial and private sector development,Kenya Infrastructure Finance/PPP project,Republic of Kenya
1211,4,Financial and private sector development,Kenya Infrastructure Finance/PPP project,Republic of Kenya
1212,1,Economic management,Kenya Infrastructure Finance/PPP project,Republic of Kenya
1213,2,Public sector governance,Kenya Infrastructure Finance/PPP project,Republic of Kenya
1214,10,Rural development,Additional Financing for the Project for Agriculture Commercialization and Trade,Nepal
1215,10,Rural development,Additional Financing for the Project for Agriculture Commercialization and Trade,Nepal
1216,10,Rural development,Additional Financing for the Project for Agriculture Commercialization and Trade,Nepal
1217,2,Public sector governance,Tonga Economic Recovery Operation II,Kingdom of Tonga
1218,1,Economic management,Tonga Economic Recovery Operation II,Kingdom of Tonga
1219,4,Financial and private sector development,Tonga Economic Recovery Operation II,Kingdom of Tonga
1220,2,Public sector governance,Tonga Economic Recovery Operation II,Kingdom of Tonga
1221,11,Environment and natural resources management,Vietnam-HCFC Phase-out Project (Phase I),Socialist Republic of Vietnam
1222,11,Environment and natural resources management,Vietnam-HCFC Phase-out Project (Phase I),Socialist Republic of Vietnam
1223,5,Trade and integration,Road Rehabilitation and Maintenance Program,Oriental Republic of Uruguay
1224,6,,Road Rehabilitation and Maintenance Program,Oriental Republic of Uruguay
1225,11,Environment and natural resources management,Adaptation of Nicaraguas  Water Supplies to Climate Change,Republic of Nicaragua
1226,10,Rural development,Adaptation of Nicaraguas  Water Supplies to Climate Change,Republic of Nicaragua
1227,11,Environment and natural resources management,Adaptation of Nicaraguas  Water Supplies to Climate Change,Republic of Nicaragua
1228,6,Social protection and risk management,Adaptation of Nicaraguas  Water Supplies to Climate Change,Republic of Nicaragua
1229,1,Economic management,Second  Programmatic Fiscal Sustainability and Growth Resilience Development Policy Loan,Republic of Colombia
1230,1,Economic management,Second  Programmatic Fiscal Sustainability and Growth Resilience Development Policy Loan,Republic of Colombia
1231,2,Public sector governance,Second  Programmatic Fiscal Sustainability and Growth Resilience Development Policy Loan,Republic of Colombia
1232,2,Public sector governance,Second  Programmatic Fiscal Sustainability and Growth Resilience Development Policy Loan,Republic of Colombia
1233,6,Social protection and risk management,Second  Programmatic Fiscal Sustainability and Growth Resilience Development Policy Loan,Republic of Colombia
1234,2,Public sector governance,Public Sector Management and Social Inclusion Development Policy Loan,Oriental Republic of Uruguay
1235,1,Economic management,Public Sector Management and Social Inclusion Development Policy Loan,Oriental Republic of Uruguay
1236,6,Social protection and risk management,Public Sector Management and Social Inclusion Development Policy Loan,Oriental Republic of Uruguay
1237,6,Social protection and risk management,Hurricane Felix Emergency Recovery Additional Financing,Republic of Nicaragua
1238,6,,Hurricane Felix Emergency Recovery Additional Financing,Republic of Nicaragua
1239,6,Social protection and risk management,Jamaica Social and Economic Inclusion of Persons with Disabilities,Jamaica
1240,6,,Jamaica Social and Economic Inclusion of Persons with Disabilities,Jamaica
1241,11,Environment and natural resources management,Vietnam Climate Change Development Policy 2,Socialist Republic of Vietnam
1242,4,,Vietnam Climate Change Development Policy 2,Socialist Republic of Vietnam
1243,11,Environment and natural resources management,CTF in Ukraine,Ukraine
1244,6,,CTF in Ukraine,Ukraine
1245,11,Environment and natural resources management,SWAp for Parana Multi-sector Development Project,Federative Republic of Brazil
1246,2,Public sector governance,SWAp for Parana Multi-sector Development Project,Federative Republic of Brazil
1247,8,Human development,SWAp for Parana Multi-sector Development Project,Federative Republic of Brazil
1248,8,Human development,SWAp for Parana Multi-sector Development Project,Federative Republic of Brazil
1249,10,Rural development,Additional Financing - Rio de Janeiro Sustainable Rural Development,Federative Republic of Brazil
1250,10,Rural development,Additional Financing - Rio de Janeiro Sustainable Rural Development,Federative Republic of Brazil
1251,10,Rural development,Additional Financing - Rio de Janeiro Sustainable Rural Development,Federative Republic of Brazil
1252,6,Social protection and risk management,Additional Financing - Rio de Janeiro Sustainable Rural Development,Federative Republic of Brazil
1253,4,Financial and private sector development,Second Regional Development Project,Georgia
1254,8,Human development,Second Regional Development Project,Georgia
1255,8,Human development,Emergency Targeted Nutrition Intervention,Republic of Yemen
1256,6,Social protection and risk management,Emergency Targeted Nutrition Intervention,Republic of Yemen
1257,1,Economic management,MV: Statistical Capacity Building,Republic of Maldives
1258,8,,MV: Statistical Capacity Building,Republic of Maldives
1259,6,Social protection and risk management,Jordan Statistical Capacity Building TF,Hashemite Kingdom of Jordan
1260,1,Economic management,Jordan Statistical Capacity Building TF,Hashemite Kingdom of Jordan
1261,7,Social dev/gender/inclusion,Strengthen IYCF Capacity in SAR,South Asia
1262,8,Human development,Strengthen IYCF Capacity in SAR,South Asia
1263,4,Financial and private sector development,Competitiveness Developmenet Policy Operation,Republic of Moldova
1264,10,Rural development,Competitiveness Developmenet Policy Operation,Republic of Moldova
1265,5,Trade and integration,Competitiveness Developmenet Policy Operation,Republic of Moldova
1266,5,Trade and integration,Competitiveness Developmenet Policy Operation,Republic of Moldova
1267,10,Rural development,Results-Based Rural Water Supply and Sanitation Under the National Target Program,Socialist Republic of Vietnam
1268,2,,Results-Based Rural Water Supply and Sanitation Under the National Target Program,Socialist Republic of Vietnam
1269,7,Social dev/gender/inclusion,Myanmar National Community Driven Development Project,Republic of the Union of Myanmar
1270,7,Social dev/gender/inclusion,Myanmar National Community Driven Development Project,Republic of the Union of Myanmar
1271,10,Rural development,Myanmar National Community Driven Development Project,Republic of the Union of Myanmar
1272,8,Human development,Tajikistan PDPG6,Republic of Tajikistan
1273,10,Rural development,Tajikistan PDPG6,Republic of Tajikistan
1274,2,Public sector governance,Tajikistan PDPG6,Republic of Tajikistan
1275,2,Public sector governance,Tajikistan PDPG6,Republic of Tajikistan
1276,4,Financial and private sector development,LB Supporting Innovation in SMEs Project,Lebanese Republic
1277,4,,LB Supporting Innovation in SMEs Project,Lebanese Republic
1278,8,Human development,Amanar for Youth Berbers,Kingdom of Morocco
1279,4,Financial and private sector development,Amanar for Youth Berbers,Kingdom of Morocco
1280,7,Social dev/gender/inclusion,Amanar for Youth Berbers,Kingdom of Morocco
1281,2,Public sector governance,Tax Administration,Republic of Tajikistan
1282,2,Public sector governance,Tax Administration,Republic of Tajikistan
1283,11,Environment and natural resources management,Vietnam Industrial Pollution Management Project,Socialist Republic of Vietnam
1284,11,Environment and natural resources management,Vietnam Industrial Pollution Management Project,Socialist Republic of Vietnam
1285,7,Social dev/gender/inclusion,REAL ESTATE REGISTRATION PROJECT,Bosnia and Herzegovina
1286,11,Environment and natural resources management,REAL ESTATE REGISTRATION PROJECT,Bosnia and Herzegovina
1287,3,Rule of law,REAL ESTATE REGISTRATION PROJECT,Bosnia and Herzegovina
1288,4,Financial and private sector development,HP State Roads Project - Additional Financing,Republic of India
1289,7,Social dev/gender/inclusion,HP State Roads Project - Additional Financing,Republic of India
1290,9,Urban development,Urban Local Government Strengthening Program,United Republic of Tanzania
1291,2,Public sector governance,Urban Local Government Strengthening Program,United Republic of Tanzania
1292,4,Financial and private sector development,Burundi Sixth Economic Reform Support Grant - First Operation in the series of 3,Republic of Burundi
1293,2,Public sector governance,Burundi Sixth Economic Reform Support Grant - First Operation in the series of 3,Republic of Burundi
1294,4,Financial and private sector development,Burundi Sixth Economic Reform Support Grant - First Operation in the series of 3,Republic of Burundi
1295,2,Public sector governance,Burundi Sixth Economic Reform Support Grant - First Operation in the series of 3,Republic of Burundi
1296,10,Rural development,Rural Alliances Project II,Plurinational State of Bolivia
1297,7,Social dev/gender/inclusion,Rural Alliances Project II,Plurinational State of Bolivia
1298,7,Social dev/gender/inclusion,Rural Alliances Project II,Plurinational State of Bolivia
1299,10,Rural development,Rural Alliances Project II,Plurinational State of Bolivia
1300,10,Rural development,Rural Alliances Project II,Plurinational State of Bolivia
1301,7,Social dev/gender/inclusion,BO Urban Infrastructure Project (II) Additional Finance,Plurinational State of Bolivia
1302,3,Rule of law,BO Urban Infrastructure Project (II) Additional Finance,Plurinational State of Bolivia
1303,9,Urban development,BO Urban Infrastructure Project (II) Additional Finance,Plurinational State of Bolivia
1304,8,Human development,Second Additional Financing Burundi Health Sector Development Support Project,Republic of Burundi
1305,8,Human development,Second Additional Financing Burundi Health Sector Development Support Project,Republic of Burundi
